"","","","今回ちょっと書く時間が少なかったのですが、今度より頑張りたいと思います。","","В последние время не получается часто писать. Но я буду и дальше стараться изо всех сил."
"","","","今回たっぷり書けましたから、ちょっと良いのができたのではないかと思います。","","Сейчас я часто пишу, поэтому думаю, что стало получаться хорошо"
"","","","一所懸命頑張りましたが、なかなか良い作品にならなかったと思います。残念です。","","Я старался, но сакухин не получился. Извините за мои кандзи"
"","","","最近ちゃんと習字をしています。作品を見ると私はまだまだ勉強することが多いです。","",""
"Прощание","","","ご自愛のほどお祈り申し上げます。","",""
"","","","お大事にしてください。","",""
"","","","ご健勝のことだとお喜び申し上げます。","",""
"","","","どうぞくれぐれもお大切になさってください。","",""
"","","","くれぐれも　お元気で　お過ごし　ください。","",""
"","","","お疲れの出ませんよう、どうぞお休をお大切になさってください。","",""
"","","","ご自愛ください","",""
"","","","お体を大事になさってください。","",""
"","","","風邪にご用心ください。","",""
"обязательное прощание","","","これからもよろしくお願いたします。","",""
"Дата","","","令和年月日","",""
